outcome,sex,cgn,pc2_group,n,outcome_mean,mean_pc1,mean_pc2,prop_pc2_high,prop_pc2_low
log_earnings_o222_among_earners,male,non_CGN,low_PC2_social_domestic,5092,49.338177533385704,1.3127155873307021,-1.3934486039578609,0.0,1.0
log_earnings_o222_among_earners,female,CGN,high_PC2_technical_physical,1323,29.588813303099016,-0.09268649050725576,1.4343330832709442,1.0,0.0
log_earnings_o222_among_earners,male,CGN,middle_PC2,2641,48.90533888678531,0.1600377121853638,-0.007073818718181767,0.0,0.0
log_earnings_o222_among_earners,male,CGN,low_PC2_social_domestic,2190,48.12694063926941,0.1590694722475934,-1.6734645043992074,0.0,1.0
log_earnings_o222_among_earners,female,non_CGN,low_PC2_social_domestic,3693,29.238830219333874,-1.3096877535361144,-1.190460332878323,0.0,1.0
log_earnings_o222_among_earners,female,non_CGN,high_PC2_technical_physical,4950,28.152323232323234,-1.510683749828755,1.3504525418892754,1.0,0.0
log_earnings_o222_among_earners,female,CGN,middle_PC2,2020,31.262871287128714,-0.10994348347887754,0.07565400541322201,0.0,0.0
log_earnings_o222_among_earners,male,CGN,high_PC2_technical_physical,1027,49.757546251217136,0.19209345179645354,1.3642925625165023,1.0,0.0
log_earnings_o222_among_earners,female,CGN,low_PC2_social_domestic,1250,31.7056,-0.1432889084849482,-1.5562214094818112,0.0,1.0
ever_married,female,non_CGN,middle_PC2,14343,0.8985567872829952,-1.5613049553311398,0.05951327818135968,0.0,0.0
ever_married,male,non_CGN,high_PC2_technical_physical,6830,0.9010248901903367,1.579412867452626,1.3162457403529464,1.0,0.0
ever_married,male,non_CGN,middle_PC2,14377,0.8631146970856228,1.5140846482414536,0.058367584059499114,0.0,0.0
ever_married,male,non_CGN,low_PC2_social_domestic,5623,0.8241152409745688,1.3162884311311718,-1.3973538249378838,0.0,1.0
ever_married,female,CGN,high_PC2_technical_physical,1904,0.8771008403361344,-0.10351596785012458,1.4374023995176675,1.0,0.0
ever_married,female,non_CGN,low_PC2_social_domestic,5844,0.8742299794661191,-1.3063762467115454,-1.1938786994673773,0.0,1.0
ever_married,male,CGN,middle_PC2,2873,0.7514792899408284,0.15662942203870167,-0.006800531134934036,0.0,0.0
ever_married,female,CGN,low_PC2_social_domestic,1843,0.7883884970157352,-0.15612885750739067,-1.5833694194365258,0.0,1.0
ever_married,male,CGN,low_PC2_social_domestic,2442,0.6871416871416871,0.15938838220900953,-1.6890296327669412,0.0,1.0
ever_married,female,CGN,middle_PC2,2929,0.8443154660293616,-0.11988213471640859,0.07302379963813808,0.0,0.0
ever_married,female,non_CGN,high_PC2_technical_physical,7171,0.9196764746897225,-1.5198835962137116,1.3449864982394497,1.0,0.0
ever_married,male,CGN,high_PC2_technical_physical,1136,0.8309859154929577,0.18303265728166773,1.3619263430754485,1.0,0.0
divorced_among_ever_married,male,non_CGN,high_PC2_technical_physical,6131,0.050888925134562064,1.5885559110653762,1.3139760379908432,1.0,0.0
divorced_among_ever_married,male,non_CGN,middle_PC2,12374,0.04250848553418458,1.5309825784048043,0.0657104283102352,0.0,0.0
divorced_among_ever_married,male,non_CGN,low_PC2_social_domestic,4614,0.054182921543129606,1.3305231909245305,-1.3835878356557725,0.0,1.0
divorced_among_ever_married,female,CGN,high_PC2_technical_physical,1665,0.06966966966966967,-0.11779380577035455,1.4436111061174677,1.0,0.0
divorced_among_ever_married,female,non_CGN,middle_PC2,12841,0.054902266178646526,-1.5705460511677274,0.06224210706792014,0.0,0.0
divorced_among_ever_married,female,non_CGN,low_PC2_social_domestic,5094,0.06497840596780526,-1.315693214513761,-1.1831260238551957,0.0,1.0
divorced_among_ever_married,female,CGN,low_PC2_social_domestic,1444,0.08033240997229917,-0.16508408759021373,-1.55579644935593,0.0,1.0
divorced_among_ever_married,male,CGN,low_PC2_social_domestic,1673,0.05738194859533772,0.19348601991617934,-1.6919351592173781,0.0,1.0
divorced_among_ever_married,female,CGN,middle_PC2,2465,0.06572008113590264,-0.13541604702567306,0.0735707686563207,0.0,0.0
divorced_among_ever_married,female,non_CGN,high_PC2_technical_physical,6573,0.058116537349764186,-1.5243970704303509,1.3491644567096936,1.0,0.0
divorced_among_ever_married,male,CGN,high_PC2_technical_physical,938,0.054371002132196165,0.19467125620006315,1.362946870834674,1.0,0.0
divorced_among_ever_married,male,CGN,middle_PC2,2151,0.05392840539284054,0.18761436823582123,0.002898601861861647,0.0,0.0
